sensor_index,date_created,name,location_type,uptime,latitude,longitude
270140,1742601982,EPA RX - Twin Lakes Resort,0,4286,43.715034,-121.77142
270142,1742601983,EPA RX - Gateway School,0,36940,44.76958,-121.08346
270136,1742601979,EPA RX - Huntington Road,0,1018,43.782204,-121.466415
270138,1742601980,EPA RX - Jefferson County Library,0,58826,44.632656,-121.12716
270150,1742601990,EPA RX - Emerald Dr,0,58979,43.71148,-121.550934
270144,1742601985,EPA RX - Center Drive,0,6280,43.710934,-121.5191
270146,1742601987,EPA RX - Culver City Hall,0,1438,44.527138,-121.20967
270156,1742601994,EPA RX - Willamette Pass Inn,0,70398,43.52762,-121.94219
270158,1742602004,EPA RX - Juniper Art Guild,0,2558,44.301365,-120.8282
270166,1742602010,EPA RX - Ponderosa Loop,0,61804,43.69087,-121.57922
270160,1742602005,EPA RX - Prineville Reservoir,0,672,44.131725,-120.72112
270162,1742602007,EPA RX - Chemult RFPD,0,13670,43.219673,-121.78543
270174,1742602019,EPA RX - Walker Range District,0,30235,43.451508,-121.70378
270168,1742602012,EPA RX - Guadalupe way,0,668,43.85582,-121.456795
270170,1742602015,EPA RX - Paulina Resort,0,20083,43.715218,-121.27629
270180,1742602023,EPA RX - Smith Rock Park,0,11478,44.368908,-121.13264
270182,1742602024,EPA RX - Day Road,0,4235,43.714542,-121.526436
270184,1742602026,EPA RX - 6th St,0,5245,43.667244,-121.55556
270196,1742602035,EPA RX - SW Meadow Lakes,0,14328,44.299572,-120.85539
270198,1742602036,EPA RX - Locust St,0,19593,44.312565,-120.85709
270192,1742602032,EPA RX - Faun Lane,0,14946,43.732815,-121.47541
270194,1742602033,EPA-RX NW Buffalo PL,0,44477,44.44004,-121.25763
270204,1742602040,EPA RX - Bent Loop,0,29931,44.3012,-121.04153
270206,1742602041,EPA RX - Round Butte Overlook Park,0,15778,44.61793,-121.27971
270200,1742602038,EPA RX - Ochoco West,0,21447,44.401638,-120.91787
270212,1742602046,EPA RX - Forest Lane,0,2642,43.802383,-121.503075
270214,1742602047,EPA RX - Post Store,0,10217,44.157585,-120.491035
270208,1742602043,EPA RX - Riverland ave,0,12031,43.661057,-121.54021
270210,1742602044,EPA RX -Sutter St,0,9939,43.710136,-121.44913
270220,1742602054,Couch Market 3600ft EPA Rx,0,22929,44.16375,-121.422356
270222,1742602055,EPA RX - Saddlehorn Ct,0,54429,43.613148,-121.59016
270216,1742602050,EPA RX - CC Fairgrounds,0,15650,44.295105,-120.846375
8388,1520560660,Robson Acres,0,37518,45.194878,-122.63915
270548,1742922618,Alan's House,0,739,47.36354,-120.22609
8696,1521047847,KC Home,0,67788,45.223183,-122.67889
271006,1743030204,Vista out,0,57079,45.533253,-122.68302
271505,1743438791,Steilacoom Ridge Maggee,0,1950,47.05045,-122.73747
271633,1743535691,HelenaOutdoors.com - PurpleAir,0,4110,46.596954,-112.06031
271701,1743606931,South Walnut and Capitol,0,31226,46.991837,-120.5394
271854,1743615536,CET: Hawthorne Station,0,8413,44.05832,-121.301384
9732,1523399006,PSU STAR Lab Titlow,0,16556,47.253452,-122.54423
9810,1523488759,PSU STAR LAB KFP,0,35271,42.190224,-121.72891
9824,1523551823,UWCEER Lab 2,0,17911,47.687256,-122.192505
10104,1525371592,Three pines ranch,0,51271,42.278694,-122.721985
272305,1743797489,Evan Abraham Longhouse,0,31786,47.14482,-116.91686
10166,1525379560,"MV Clean Air Ambassador @ Lower Studhorse (2,107ft)",0,4939,48.48526,-120.17431
10168,1525379574,MV Clean Air Ambassador @ Upper Beaver Creek,0,8830,48.39443,-120.04445
272325,1743797507,Coeur d'Alene Tribe Facilities Shop,0,40329,47.397926,-116.90688
10182,1525379876,MV Clean Air Ambassador @ Benson Creek (1810),0,6809,48.29451,-120.03911
272323,1743797505,MH Medical Center,0,61739,47.342686,-116.89384
10188,1525381104,MV Clean Air Ambassador @ Bush School,0,53136,48.609413,-120.444336
272331,1743797509,Coeur d'Alene Tribe Fire Shop,0,26,47.31217,-116.9561
272367,1743797527,Worley Longhouse,0,1110,47.39909,-116.91497
272543,1744048699,PRLD Peck Library,0,21036,46.475185,-116.422424
10554,1526145596,LRAPA-Guy Lee Elementary,0,28615,44.069813,-123.03928
10592,1526151059,LRAPA-Creswell HS,0,15812,43.923737,-123.029236
10596,1526151102,LRAPA-Walterville Elementary,0,62768,44.078846,-122.761444
