STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,latitude
16,NA,11015504291218,Coeur D'Alene - Pappy Boyington Fld,K2451,-116.812418,47.773689
16,NA,11015504291206,Hackney Airpark,K2451,-116.676143,47.956279
16,NA,11015504291246,Fountains Arprt,K2451,-116.995833,46.712651
16,NA,11015504291229,Friendly Persuasion Farm Arprt,K2451,-116.690113,46.776097
16,NA,11015504291274,Lemons Fld,K2451,-116.945543,43.927348
16,NA,11015504291275,Pocatello Regional Arprt,K2451,-112.595916,42.909804
16,NA,11015504291656,Bernard US Forest Service Arprt,K2451,-114.734423,44.979326
16,NA,11015504291651,Cabin Creek US Forest Service Arprt,K2451,-114.927714,45.142955
16,NA,11015504291648,Big Creek Heliport,K2460,-115.317612,45.133243
16,NA,11015504291621,Hidden Lakes Arprt,K2451,-116.178301,44.224322
16,NA,11015504291619,Sulphur Creek Ranch Arprt,K2451,-115.349665,44.536
16,NA,11015504291612,Morgan Ranch Arprt,K2451,-115.303831,44.55489
16,NA,11015504291609,High Valley Swanson Arprt,K2451,-116.144803,44.238562
16,NA,11015504291606,Donald D Coski Memorial Arprt,K2451,-116.091352,44.72849
16,NA,11015504291599,Bear Air Arprt,K2451,-116.065516,44.7846
16,NA,11015504291592,Indian Creek US Forest Service Arprt,K2451,-115.107361,44.761137
16,NA,11015504291573,Landmark US Forest Service Arprt,K2451,-115.533388,44.64211
16,NA,11015504291539,McCall Municipal Arprt,K2451,-116.101749,44.888722
16,NA,11015504291527,St Luke's McCall Heliport,K2460,-116.110402,44.909061
16,NA,11015504291513,Splan Arprt,K2451,-116.049123,44.807386
16,NA,11015504291560,Krassel US Forest Service Arprt,K2451,-115.72975,44.974221
16,NA,11015504291499,Mahoney Creek US Forest Service Arprt,K2451,-114.921388,44.744582
16,NA,11015504291479,Double Dreidel Heliport,K2460,-116.177499,44.230832
16,NA,11015504291466,Soldier Bar US Forest Service Arprt,K2451,-114.799653,45.099345
16,NA,11015504291446,Thomas Creek Arprt,K2451,-115.003972,44.723305
16,NA,11015504291417,Reed Ranch Arprt,K2451,-115.71178,44.891097
16,NA,11015504291399,Stibnite Arprt,K2451,-115.331611,44.899338
16,NA,11015504291381,Johnson Creek Arprt,K2451,-115.485527,44.911721
16,NA,11015504291361,Taylor Ranch Landing Area,K2451,-114.854002,45.103321
16,NA,11015504291339,Flying B Ranch Landing Strp,K2451,-114.731593,44.967401
16,NA,11015504291322,Boulder Creek Airstrip,K2451,-116.072882,44.736373
16,NA,11015504291299,Deadwood Dam Airstrip,K2451,-115.640113,44.297208
16,NA,11015504291223,Black Butte Ranch Arprt,K2451,-114.469049,43.047114
16,00380017,1102653627449,Crag Peak,C3022,-115.594594,46.941299
16,NA,11015504291162,Magic Reservoir Arprt,K2451,-114.395113,43.280097
16,NA,11015504291144,Tracy Ranch Arprt,K2451,-115.078795,43.286829
