STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,lattitude
16,00394425,1102653700936,Torreys Hole Recreation Site,C3081,-114.596181,44.254081
16,00395695,1102653700949,Trail Creek Campground,C3081,-115.874565,44.27684
16,00398537,1102653700946,Trail Creek Campground,C3081,-115.874843,44.27684
16,00394407,1102653700963,Trail Flat Campsite,C3081,-115.265939,44.60796
16,00392329,1102653701001,Transfer Cabin,C3081,-115.475107,44.322679
16,00394708,1102653701006,Transfer Camp,C3081,-114.356461,44.614642
16,00392330,1102653701014,Transfer Campground,C3081,-114.806754,44.602134
16,00398500,1102653701028,Trap Creek Rest Area,C3081,-115.096483,44.319073
16,00392339,1102653701040,Trapper Cabin,C3081,-111.222707,42.586316
16,00398469,1102653701048,Trappers Cabin,C3081,-115.648208,46.997686
16,00394305,1102653701053,Trestle Creek Boat Ramp,C3081,-116.344904,48.274651
16,00400397,1102653701058,Trestle Creek Recreation Site,C3081,-116.346848,48.277151
16,00394531,1102653701075,Tripod Peak Lookout,C3081,-116.127633,44.384335
16,00399258,1102653701080,Tripod Reservoir Public Fishing Area,C3081,-116.099852,44.290725
16,00398550,1102653701088,Trout Creek Campground,C3081,-115.555113,44.747124
16,00392431,1102653701094,Troutdale Campground,C3081,-115.625099,43.716283
16,00392447,1102653701114,Tumbledown Bridge,C3081,-115.209837,45.443244
16,00392451,1102653701124,Tunnel Cabin,C3081,-113.666980644746,43.520929794360796
16,00392462,1102653701129,Turner Flat Campground,C3081,-115.654319,47.236867
16,00392480,1102653701134,Twentieth Century Mill,C3081,-115.193717,44.941576
16,00400554,1102653701140,Twentymile Bar Campground,C3081,-115.470131,46.086576
16,00399332,1102653701161,Twentythree Mile Campground,C3081,-115.412629,46.076854
16,00397279,1102653701166,Twenty-Two Bar Desert Place,C3081,-115.94565,42.047957
16,00392494,1102653701171,Twin Bridges,C3081,-115.471775,44.417401
16,00399274,1102653701176,Twin Bridges Access Area,C3081,-116.287083,45.658219
16,00392495,1102653701181,Twin Bridges Campground,C3081,-115.521779,44.805737
