id,time_stamp,humidity,temperature,pm2.5_atm,pm2.5_cf_1
36707,2021-10-01T00:00:00Z,39,63,4.2,4.3
36707,2024-04-01T00:00:00Z,27,72,0.9,0.9
36707,2022-06-01T00:00:00Z,27,72,2.4,2.4
36707,2023-09-01T00:00:00Z,27,72,3.9,4
36707,2020-07-01T00:00:00Z,28,83,194.2,288.3
36707,2023-02-01T00:00:00Z,27,72,4.7,4.9
36707,2020-08-01T00:00:00Z,25,84,306.2,456.8
36707,2024-02-01T00:00:00Z,27,72,3.5,3.6
36707,2024-10-01T00:00:00Z,27,72,10.7,12.5
36707,2024-12-01T00:00:00Z,27,72,5.3,5.4
36707,2024-03-01T00:00:00Z,27,72,1.7,1.7
36707,2025-06-01T00:00:00Z,27,72,17.7,25.5
36707,2021-11-01T00:00:00Z,48,55,7.7,8
36707,2023-05-01T00:00:00Z,27,72,4.6,5
36707,2024-09-01T00:00:00Z,27,72,11.2,12.9
36707,2023-04-01T00:00:00Z,27,72,1.9,1.9
36707,2022-11-01T00:00:00Z,27,72,9.5,9.8
36707,2023-11-01T00:00:00Z,27,72,7.9,8.4
40715,2023-01-01T00:00:00Z,49,30,0.1,0.1
40715,2025-06-01T00:00:00Z,28,72,0.3,0.3
40715,2024-03-01T00:00:00Z,45,40,0,0
40715,2020-04-01T00:00:00Z,37,49,1.8,1.9
40715,2020-02-01T00:00:00Z,42,30,3,3
40715,2020-07-01T00:00:00Z,31,75,4.8,4.9
40715,2024-09-01T00:00:00Z,32,67,4.1,4.9
40715,2022-03-01T00:00:00Z,41,40,0.2,0.2
40715,2021-11-01T00:00:00Z,44,44,0.1,0.1
40715,2024-01-01T00:00:00Z,50,33,0.1,0.1
40715,2024-11-01T00:00:00Z,44,38,0,0
40715,2022-11-01T00:00:00Z,46,34,0.3,0.3
40715,2023-10-01T00:00:00Z,43,55,0.1,0.1
40715,2023-09-01T00:00:00Z,38,65,0.2,0.2
40715,2022-05-01T00:00:00Z,36,55,0,0
40715,2020-06-01T00:00:00Z,37,66,2.2,2.3
40715,2023-02-01T00:00:00Z,44,26,0.2,0.2
40715,2022-12-01T00:00:00Z,48,31,0,0
40715,2021-01-01T00:00:00Z,46,33,1.6,1.6
40715,2021-05-01T00:00:00Z,36,62,1.7,1.9
40715,2020-12-01T00:00:00Z,44,32,1,1
40715,2021-03-01T00:00:00Z,39,40,1.3,1.3
40715,2025-05-01T00:00:00Z,35,61,0.1,0.1
40715,2024-10-01T00:00:00Z,35,57,0.8,0.8
40715,2020-09-01T00:00:00Z,29,65,1205.4,1804.6
40715,2022-06-01T00:00:00Z,33,68,0.1,0.1
40715,2022-07-01T00:00:00Z,26,80,1.7,1.7
40715,2025-04-01T00:00:00Z,36,50,0,0
40715,2025-02-01T00:00:00Z,44,36,0,0
40715,2022-09-01T00:00:00Z,33,69,6,6.9
40715,2023-03-01T00:00:00Z,44,32,0.1,0.1
40715,2020-01-01T00:00:00Z,45,34,1.1,1.1
40715,2025-01-01T00:00:00Z,44,28,0.2,0.2
40715,2025-07-01T00:00:00Z,25,79,3,3.1
40715,2021-07-01T00:00:00Z,35,72,9.1,10.5
40715,2021-02-01T00:00:00Z,42,34,0.7,0.7
40715,2023-04-01T00:00:00Z,42,41,0.4,0.4
40715,2024-12-01T00:00:00Z,50,36,0.1,0.1
40715,2024-07-01T00:00:00Z,28,78,10,10.3
40715,2022-10-01T00:00:00Z,36,53,0.4,0.4
40715,2024-05-01T00:00:00Z,36,55,0,0
40715,2023-08-01T00:00:00Z,40,74,2.3,2.6
40715,2020-08-01T00:00:00Z,24,78,18.3,23.3
40715,2022-01-01T00:00:00Z,48,29,0.7,0.7
40715,2021-04-01T00:00:00Z,36,67,1.7,1.8
40715,2023-06-01T00:00:00Z,42,65,0.2,0.2
40715,2021-12-01T00:00:00Z,45,35,0,0
40715,2021-08-01T00:00:00Z,31,73,18.1,24.2
40715,2020-03-01T00:00:00Z,44,42,2.5,2.5
40715,2023-05-01T00:00:00Z,40,60,3.2,3.6
40715,2022-02-01T00:00:00Z,41,28,0.5,0.5
40715,2024-06-01T00:00:00Z,32,72,0.1,0.1
40715,2021-09-01T00:00:00Z,31,67,10.9,12.5
40715,2022-04-01T00:00:00Z,36,45,0,0
40715,2020-10-01T00:00:00Z,31,53,695.2,1040.9
40715,2020-11-01T00:00:00Z,42,40,1.3,1.3
40715,2023-07-01T00:00:00Z,32,77,0.9,0.9
40715,2020-05-01T00:00:00Z,34,60,1.9,2
40715,2024-02-01T00:00:00Z,48,36,0.1,0.1
40715,2024-08-01T00:00:00Z,33,74,7.1,7.9
40715,2022-08-01T00:00:00Z,36,76,2.4,2.4
40715,2025-03-01T00:00:00Z,44,42,0.1,0.1
40715,2024-04-01T00:00:00Z,38,50,0,0
40715,2023-11-01T00:00:00Z,46,41,0,0
40715,2021-06-01T00:00:00Z,26,75,1.9,1.9
40715,2023-12-01T00:00:00Z,51,35,0.2,0.2
27287,2021-10-01T00:00:00Z,39,60,5.8,5.8
27287,2024-03-01T00:00:00Z,43,50,4,4
27287,2022-01-01T00:00:00Z,55,35,16.6,17.1
27287,2025-07-01T00:00:00Z,24,87,6.5,6.6
27287,2020-06-01T00:00:00Z,37,73,2.9,2.9
27287,2020-09-01T00:00:00Z,25,75,27.2,36
27287,2021-01-01T00:00:00Z,52,42,9.6,10
27287,2020-12-01T00:00:00Z,52,38,17.3,18.2
27287,2022-10-01T00:00:00Z,35,63,11.4,11.5
27287,2021-05-01T00:00:00Z,31,66,3.1,3.1
27287,2023-11-01T00:00:00Z,49,48,17,18.5
27287,2022-05-01T00:00:00Z,40,63,2,2
27287,2025-03-01T00:00:00Z,41,53,2.4,2.4
27287,2020-02-01T00:00:00Z,43,43,4.3,4.3
27287,2021-06-01T00:00:00Z,24,84,4.3,4.3
27287,2023-12-01T00:00:00Z,57,42,15.4,16.4
27287,2025-05-01T00:00:00Z,32,69,3.4,3.4
27287,2021-12-01T00:00:00Z,56,41,12.7,14.1
27287,2023-08-01T00:00:00Z,32,84,13.3,14.4
27287,2020-03-01T00:00:00Z,39,52,3.6,3.6
27287,2022-07-01T00:00:00Z,21,90,7.3,7.4
