id,time_stamp,humidity,temperature,pm2.5_atm,pm2.5_cf_1,name,date_up,uptime
7494,2023-01-01T00:00:00Z,43,44,8.3,8.5,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-09-01T00:00:00Z,26,80,25.4,31.5,MesaVista,2018-02-10T03:05:11Z,42661
7494,2021-05-01T00:00:00Z,28,70,3.5,3.6,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-08-01T00:00:00Z,22,91,11.8,12,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-04-01T00:00:00Z,30,63,3.4,3.4,MesaVista,2018-02-10T03:05:11Z,42661
7494,2020-07-01T00:00:00Z,23,86,6.5,6.9,MesaVista,2018-02-10T03:05:11Z,42661
7494,2022-01-01T00:00:00Z,44,40,14.1,14.3,MesaVista,2018-02-10T03:05:11Z,42661
7494,2024-02-01T00:00:00Z,41,51,3.8,3.8,MesaVista,2018-02-10T03:05:11Z,42661
14057,2022-07-01T00:00:00Z,20,90,5.6,5.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-02-01T00:00:00Z,34,45,4.8,4.9,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-09-01T00:00:00Z,27,77,4.9,4.9,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-08-01T00:00:00Z,24,85,30.8,39.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-02-01T00:00:00Z,39,46,3.6,3.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-11-01T00:00:00Z,43,54,12,12.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-02-01T00:00:00Z,37,44,11.4,11.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-08-01T00:00:00Z,22,90,11,11.2,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-10-01T00:00:00Z,29,68,10.2,10.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-02-01T00:00:00Z,41,51,1.9,1.9,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-03-01T00:00:00Z,40,48,1.4,1.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-02-01T00:00:00Z,35,48,2.6,2.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2025-01-01T00:00:00Z,38,43,7.2,7.2,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-05-01T00:00:00Z,32,74,5.2,5.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-09-01T00:00:00Z,23,81,25.7,31.9,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2025-06-01T00:00:00Z,23,80,3.1,3.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-07-01T00:00:00Z,20,90,32.4,42.5,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-01-01T00:00:00Z,43,44,4.8,4.8,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-05-01T00:00:00Z,30,67,1.5,1.5,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-07-01T00:00:00Z,19,90,8,8.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-08-01T00:00:00Z,21,87,19.4,24.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-04-01T00:00:00Z,31,57,1.8,1.8,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-12-01T00:00:00Z,47,46,11.5,11.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-03-01T00:00:00Z,37,55,2.2,2.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-09-01T00:00:00Z,22,79,31,42.2,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2025-02-01T00:00:00Z,43,46,5.3,5.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-06-01T00:00:00Z,34,76,2.1,2.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2025-07-01T00:00:00Z,22,88,5.4,5.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-10-01T00:00:00Z,32,64,3.9,4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-07-01T00:00:00Z,18,92,25.3,30.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-03-01T00:00:00Z,31,57,3.2,3.2,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-01-01T00:00:00Z,45,47,4.3,4.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-11-01T00:00:00Z,40,46,14.4,14.7,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-06-01T00:00:00Z,33,76,5.6,5.7,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-06-01T00:00:00Z,23,85,3.4,3.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-04-01T00:00:00Z,32,62,1.4,1.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-10-01T00:00:00Z,27,65,13.5,16.8,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-10-01T00:00:00Z,29,67,8.8,9.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-05-01T00:00:00Z,31,71,1.6,1.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-12-01T00:00:00Z,43,43,15.6,15.8,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-11-01T00:00:00Z,40,50,9.5,9.5,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-10-01T00:00:00Z,35,66,6.1,6.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-12-01T00:00:00Z,45,40,11.6,12,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-06-01T00:00:00Z,25,80,2.3,2.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-04-01T00:00:00Z,23,64,2.7,2.7,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-11-01T00:00:00Z,39,51,6.3,6.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-04-01T00:00:00Z,29,64,2.1,2.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-11-01T00:00:00Z,40,52,15.1,15.7,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-05-01T00:00:00Z,35,65,1.3,1.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-09-01T00:00:00Z,23,77,18.1,23.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-12-01T00:00:00Z,48,45,15,15.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-03-01T00:00:00Z,30,55,2.9,2.9,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-01-01T00:00:00Z,43,41,14.4,14.5,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-04-01T00:00:00Z,32,59,1.6,1.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-07-01T00:00:00Z,22,86,5.2,5.3,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2022-06-01T00:00:00Z,30,77,2.4,2.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2023-08-01T00:00:00Z,29,86,12,12.8,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-09-01T00:00:00Z,26,80,19.7,25.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-08-01T00:00:00Z,22,86,31.9,41.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2025-04-01T00:00:00Z,28,64,2.6,2.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2020-03-01T00:00:00Z,34,56,2.6,2.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-05-01T00:00:00Z,27,69,2.1,2.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-12-01T00:00:00Z,46,45,11.7,12.1,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2025-05-01T00:00:00Z,27,72,2.4,2.4,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2025-03-01T00:00:00Z,34,57,1.6,1.6,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2021-01-01T00:00:00Z,44,46,7.6,7.7,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
14057,2024-01-01T00:00:00Z,46,43,14.2,15.8,"Hillsdale Estates, Star Idaho",2018-08-03T17:43:02Z,24433
10906,2025-04-01T00:00:00Z,30,63,15.6,17.3,NussHaus,2018-05-16T21:09:00Z,51249
10906,2023-09-01T00:00:00Z,27,77,7,7.7,NussHaus,2018-05-16T21:09:00Z,51249
10906,2020-05-01T00:00:00Z,66,83,0.2,0.2,NussHaus,2018-05-16T21:09:00Z,51249
10906,2021-09-01T00:00:00Z,23,77,18.8,24.4,NussHaus,2018-05-16T21:09:00Z,51249
10906,2024-10-01T00:00:00Z,27,68,829.6,1221.3,NussHaus,2018-05-16T21:09:00Z,51249
10906,2021-05-01T00:00:00Z,28,70,3.4,3.9,NussHaus,2018-05-16T21:09:00Z,51249
10906,2022-01-01T00:00:00Z,42,40,11.6,12.2,NussHaus,2018-05-16T21:09:00Z,51249
10906,2024-09-01T00:00:00Z,25,80,27.3,29.1,NussHaus,2018-05-16T21:09:00Z,51249
10906,2024-05-01T00:00:00Z,30,68,3.6,4.2,NussHaus,2018-05-16T21:09:00Z,51249
10906,2021-11-01T00:00:00Z,39,56,8.3,9,NussHaus,2018-05-16T21:09:00Z,51249
10906,2023-02-01T00:00:00Z,34,45,3.1,3.4,NussHaus,2018-05-16T21:09:00Z,51249
10906,2021-03-01T00:00:00Z,30,56,3.4,4,NussHaus,2018-05-16T21:09:00Z,51249
10906,2023-04-01T00:00:00Z,31,59,1.6,1.9,NussHaus,2018-05-16T21:09:00Z,51249
10906,2021-02-01T00:00:00Z,39,47,5.3,6.1,NussHaus,2018-05-16T21:09:00Z,51249
10906,2024-03-01T00:00:00Z,35,55,2.3,2.5,NussHaus,2018-05-16T21:09:00Z,51249
10906,2021-01-01T00:00:00Z,41,47,7.4,8.4,NussHaus,2018-05-16T21:09:00Z,51249
10906,2025-05-01T00:00:00Z,28,72,13,14.6,NussHaus,2018-05-16T21:09:00Z,51249
10906,2022-08-01T00:00:00Z,20,92,10,11,NussHaus,2018-05-16T21:09:00Z,51249
